epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,982.752,0.90081,0.4885,1.07423,0.98843,1,0.995,0.84483,0.73406,0.37959,0.92272,0.003862,0.003862,0.003862
64,998.393,0.91098,0.49991,1.07905,0.98524,1,0.995,0.82416,0.71513,0.37415,0.93716,0.003763,0.003763,0.003763
65,1013.98,0.90748,0.48764,1.06653,0.98796,1,0.995,0.77325,0.80241,0.37985,0.95121,0.003664,0.003664,0.003664
66,1029.58,0.88895,0.47477,1.06157,0.98661,1,0.995,0.83371,0.73303,0.37909,0.94439,0.003565,0.003565,0.003565
67,1045.18,0.89667,0.47523,1.06503,0.99229,1,0.995,0.8408,0.70775,0.35465,0.92703,0.003466,0.003466,0.003466
68,1060.84,0.86314,0.47491,1.05712,0.9843,1,0.995,0.84187,0.76851,0.3657,0.94544,0.003367,0.003367,0.003367
69,1076.5,0.86936,0.4699,1.06036,0.98161,1,0.995,0.82429,0.76743,0.37128,0.96073,0.003268,0.003268,0.003268
70,1092.21,0.86034,0.47331,1.05274,0.9841,1,0.995,0.84325,0.6638,0.34132,0.92538,0.003169,0.003169,0.003169
71,1107.9,0.87243,0.4714,1.06261,0.97898,1,0.995,0.82665,0.71273,0.37212,0.92287,0.00307,0.00307,0.00307
72,1123.59,0.84693,0.45357,1.04838,0.98767,1,0.995,0.83229,0.77206,0.37542,0.93773,0.002971,0.002971,0.002971
73,1139.13,0.85255,0.45989,1.05314,0.98517,1,0.995,0.83571,0.67265,0.35552,0.92834,0.002872,0.002872,0.002872
74,1154.63,0.84816,0.45777,1.06509,0.97926,1,0.995,0.8602,0.67396,0.36254,0.93876,0.002773,0.002773,0.002773
75,1170.23,0.84275,0.45142,1.04493,0.98442,1,0.995,0.84665,0.71624,0.35119,0.92512,0.002674,0.002674,0.002674
76,1185.78,0.81933,0.44293,1.0439,0.9862,1,0.995,0.83492,0.70466,0.36186,0.92537,0.002575,0.002575,0.002575
77,1201.27,0.83881,0.45219,1.04627,0.99278,1,0.995,0.84657,0.71975,0.36345,0.93605,0.002476,0.002476,0.002476
78,1216.93,0.83144,0.43997,1.03403,0.98538,1,0.995,0.85173,0.67656,0.35418,0.93385,0.002377,0.002377,0.002377
79,1232.69,0.83436,0.45195,1.04703,0.97789,1,0.995,0.8486,0.70509,0.387,0.91615,0.002278,0.002278,0.002278
80,1248.19,0.8136,0.44316,1.02766,0.98619,1,0.995,0.84725,0.69175,0.33506,0.92746,0.002179,0.002179,0.002179
81,1263.74,0.83005,0.44485,1.045,0.9881,1,0.995,0.87193,0.66755,0.34008,0.91595,0.00208,0.00208,0.00208
82,1279.33,0.80996,0.43066,1.03142,0.98711,1,0.995,0.84631,0.7152,0.32951,0.93045,0.001981,0.001981,0.001981
83,1295,0.8051,0.42765,1.02315,0.98705,1,0.995,0.82272,0.76318,0.3506,0.94237,0.001882,0.001882,0.001882
84,1310.58,0.8098,0.42571,1.03193,0.9835,1,0.995,0.83176,0.73415,0.35697,0.92447,0.001783,0.001783,0.001783
85,1326.11,0.77897,0.41922,1.01843,0.98839,1,0.995,0.85689,0.70435,0.3544,0.91861,0.001684,0.001684,0.001684
86,1341.71,0.79873,0.42427,1.02272,0.98853,1,0.995,0.83275,0.74477,0.34693,0.93051,0.001585,0.001585,0.001585
87,1357.45,0.78939,0.41865,1.01416,0.98785,1,0.995,0.83406,0.71868,0.34721,0.92734,0.001486,0.001486,0.001486
88,1373.08,0.79929,0.43149,1.03237,0.988,1,0.995,0.85983,0.71345,0.36604,0.92103,0.001387,0.001387,0.001387
89,1388.68,0.78488,0.42143,1.02366,0.98756,1,0.995,0.86501,0.73559,0.35701,0.9197,0.001288,0.001288,0.001288
90,1404.32,0.79019,0.42674,1.01888,0.99256,1,0.995,0.84876,0.71217,0.33662,0.92368,0.001189,0.001189,0.001189
91,1457.24,0.73277,0.36767,0.97007,0.9845,1,0.995,0.84986,0.70961,0.33502,0.91843,0.00109,0.00109,0.00109
92,1472.67,0.71825,0.35362,0.97269,0.98789,1,0.995,0.84066,0.70821,0.34833,0.91719,0.000991,0.000991,0.000991
93,1488.07,0.70828,0.34522,0.96989,0.99264,1,0.995,0.85522,0.66897,0.36511,0.92297,0.000892,0.000892,0.000892
94,1503.68,0.71193,0.34989,0.97382,0.98691,1,0.995,0.86463,0.65332,0.34272,0.92074,0.000793,0.000793,0.000793
95,1519.28,0.70396,0.34733,0.95892,0.98726,1,0.995,0.84636,0.67403,0.34193,0.92104,0.000694,0.000694,0.000694
96,1534.98,0.69214,0.34181,0.9587,0.98853,1,0.995,0.8443,0.65016,0.35294,0.91982,0.000595,0.000595,0.000595
97,1550.61,0.67143,0.33482,0.95609,0.98779,1,0.995,0.84425,0.66591,0.34344,0.91817,0.000496,0.000496,0.000496
98,1566.12,0.68498,0.33839,0.95446,0.98819,1,0.995,0.85276,0.65098,0.34873,0.91021,0.000397,0.000397,0.000397
99,1581.73,0.67662,0.32984,0.95495,0.9877,1,0.995,0.84024,0.66577,0.35427,0.92079,0.000298,0.000298,0.000298
100,1597.25,0.66352,0.32056,0.94963,0.98798,1,0.995,0.84247,0.67345,0.3562,0.9213,0.000199,0.000199,0.000199
